Type,k0,k1,k2,k_ratio,x_position
antarctic,3.04E-05,1.20E-04,4.00E-05,3.00,4452
antarctic,3.04E-05,1.33E-05,4.00E-05,0.33,22001
antarctic,3.04E-05,1.75E-05,4.00E-05,0.44,21018
antarctic,3.04E-05,2.31E-05,4.00E-05,0.58,19727
antarctic,3.04E-05,3.04E-05,4.00E-05,0.76,17922
antarctic,3.04E-05,4.00E-05,4.00E-05,1.00,15018
antarctic,3.04E-05,5.26E-05,4.00E-05,1.32,11236
antarctic,3.04E-05,6.93E-05,4.00E-05,1.73,8098
antarctic,3.04E-05,9.12E-05,4.00E-05,2.28,5929
greenland,6.56E-03,1.50E-02,5.00E-03,3.00,925
greenland,6.56E-03,1.14E-02,5.00E-03,2.28,972
greenland,6.56E-03,1.65E-03,5.00E-03,0.33,2289
greenland,6.56E-03,2.17E-03,5.00E-03,0.43,2164
greenland,6.56E-03,2.87E-03,5.00E-03,0.57,2005
greenland,6.56E-03,3.78E-03,5.00E-03,0.76,1795
greenland,6.56E-03,5.00E-03,5.00E-03,1.00,1498
greenland,6.56E-03,6.56E-03,5.00E-03,1.31,1218
greenland,6.56E-03,8.64E-03,5.00E-03,1.73,1003